MAKE,MODEL,SERIAL,COST,CC,COSMETICGRADEC,COSMETICFLAWS,CGRADEDAMAGE,PROCESSOR,STORAGE,MEMORY,GRAPHICS,SCREENSIZEC,PROCGEN,RESOLUTIONC,BATTERYPRESENT,BATHEALTH,MEMSLOTS,PWPROTECTED,SCREENFLAWS,MONITORSHAPE,MONITORINPUTS,SCREENSIZEM,COSMETICGRADEM,RESOLUTIONM,POID,SOID,CCDATE,RECEIVEDATE,INVOICEDATE,LASTUPDATE,UPDATEBY,WAREHOUSE,LOCATION,WSGRADE,WSFAILS,MONITORFAILS,FUNCTIONALFAILS
DELL,OPTIPLEX 9010 USFF I5,3DSFXV1,$126.02,4B,B,,,,,,Unknown,,,,YES,,,,,,,in.,,,1006-10,0-0,3/30/2020,3/10/2020,12/31/1899,9/16/2021,CR,TP,W2-1-1-A,B,,,
DELL,OPTIPLEX 7010 USFF I5,DR49RW1,$60.98,4C,C,,,,,,Unknown,,,,YES,,,,,,,in.,,,1006-61,0-0,3/30/2020,3/10/2020,12/31/1899,9/16/2021,CR,TP,W2-1-1-A,C,,,
DELL,OPTIPLEX 9020 MT I5,3SVSR52,$108,4B,C,,,,,,Unknown,,,,YES,,,,,,,in.,,,1040-45,0-0,3/30/2020,12/21/2020,12/31/1899,9/16/2021,CR,TP,W2-1-1-B,B,,,
LENOVO,THINKCENTRE M91P MT I5,1s7034cw7mjpdmyx,$61,4B,C,,,,,,Unknown,,,,YES,,,,,,,in.,,,1040-46,0-0,3/30/2020,3/13/2020,12/31/1899,9/16/2021,CR,EV1,W2-1-1-B,B,,,
DELL,PRODESK 600 G1,2UA50117GW,$84.63,8C,C,Dent(s) Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Scuffs Minor,,Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz,,8 GB,,"0.0"",",GEN 4,1920 x 1080,NO,N/A,2,,,,,in.,,,1069-128,0-0,3/17/2021,3/16/2020,12/31/1899,9/14/2021,KM,eBay,ebay 4,D,,,
DELL,LATITUDE E5520 I7,30QC5S1,$65,4B,"B,",Broken Latch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Dent(s) Minor,,Intel(R) Core(TM) i7-2620M CPU @ 2.70GH,250 GB HDD,4 GB,,"15.6""",GEN 2,1366 x 768,YES,3 (Fair Health  40-59%),2,,,,,in.,,,2308-4,0-0,10/21/2020,10/19/2020,12/31/1899,12/17/2021,PT,TP,R2-1-3-D,B,BROKEN LATCH; ,,
DELL,PRECISION T3600,83FNDX1,$68.5,0B,A,Dent(s) Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Missing Feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Scuffs Minor,,,,,Unknown,,,,YES,,,,,,,in.,,,2363-1,0-0,10/27/2020,10/27/2020,12/31/1899,9/16/2021,LT,TP,W2-4-1-A,B,,,
DELL,LATITUDE 5580 I5,3D58JM2,$624.56,3B,B,,,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,256 GB SSD,8 GB,,"15.6""",GEN 7,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,1069-1499,0-0,12/20/2021,3/31/2020,12/31/1899,12/20/2021,NL,COMPLETE,BOX-1000,B,,,
DELL,LATITUDE E6440 I5,462vn12,$94,8B,B,Dent(s) Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Scuffs Minor,,,,,Unknown,,,,YES,,,,,,,in.,,,1257-56,0-0,3/3/2021,4/14/2020,12/31/1899,9/14/2021,KM,eBay,eBay 8,D,,,Missing Battery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Missing Optical Drive                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;No Power
HP,ELITEBOOK 8460P,CNU1432LSJ,$65,8B,B-,Shiny Keys                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Light Spots In LCD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Worn Keys,Minor Dents,Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,,8 GB,,"14.0""",GEN 2,1024 x 768,YES,1 (Excellent Health 80-100%),2,PASSWORD PROTECTED,,,,in.,,,1257-113,0-0,12/16/2021,4/14/2020,12/31/1899,9/8/2021,LT,eBay,BOX-1001,D,LIGHT SPOTS IN LCD; PASSWORD PROTECTED; ,,Password Protected
